Entity,Year,Mammals (total endemic),Birds (total endemic),Amphibians (total endemic),Reef-forming corals (total endemics),Freshwater crabs (total endemics),Sharks & Rays (total endemic)
Afghanistan,2020,0,1,1,0,1,0
Aland Islands,2020,0,0,0,0,0,0
Albania,2020,0,0,0,0,0,0
Algeria,2020,1,1,1,0,0,0
American Samoa,2020,0,0,0,0,0,0
Andorra,2020,0,0,0,0,0,0
Angola,2020,10,17,21,0,3,0
Anguilla,2020,0,0,0,0,0,0
Antarctica,2020,2,1,0,0,0,0
Antigua and Barbuda,2020,0,1,0,0,0,0
Argentina,2020,85,16,43,0,0,1
Armenia,2020,2,0,0,0,0,0
Aruba,2020,0,0,0,0,0,0
Australia,2020,255,359,209,5,7,146
Austria,2020,0,0,0,0,0,0
Azerbaijan,2020,0,0,0,0,0,0
Bahamas,2020,1,8,1,0,0,0
Bahrain,2020,0,0,0,0,0,0
Bangladesh,2020,0,0,0,0,0,0
Barbados,2020,0,1,0,0,0,0
Belarus,2020,0,0,0,0,0,0
Belgium,2020,0,0,0,0,0,0
Belize,2020,0,0,1,0,2,0
Benin,2020,0,0,0,0,0,0
Bermuda,2020,0,5,0,0,0,0
Bhutan,2020,0,0,1,0,1,0
Bolivia,2020,21,20,73,0,1,0
Bonaire Sint Eustatius and Saba,2020,0,2,0,0,0,0
Bosnia and Herzegovina,2020,0,0,0,0,0,0
Botswana,2020,0,0,0,0,0,0
Bouvet Island,2020,0,0,0,0,0,0
Brazil,2020,203,254,548,7,12,21
British Indian Ocean Territory,2020,0,0,0,0,0,0
British Virgin Islands,2020,0,0,0,0,0,0
Brunei,2020,0,0,0,0,1,0
Bulgaria,2020,0,0,0,0,0,0
Burkina Faso,2020,0,0,0,0,0,0
Burundi,2020,1,0,1,0,0,0
Cambodia,2020,0,2,5,0,1,0
Cameroon,2020,18,6,56,0,5,0
Canada,2020,5,0,0,0,0,0
Cape Verde,2020,0,5,0,0,0,1
Cayman Islands,2020,19,27,59,0,2,0
Central African Republic,2020,2,0,7,0,1,0
Chad,2020,0,0,1,0,0,0
Chile,2020,15,10,36,0,0,8
China,2020,88,70,254,0,214,4
Christmas Island,2020,4,3,0,0,0,0
Cocos Islands,2020,0,0,0,0,0,0
Colombia,2020,45,93,373,0,76,2
Comoros,2020,4,20,0,0,0,1
Congo,2020,4,0,1,0,0,0
Cook Islands,2020,0,7,0,0,0,0
Costa Rica,2020,5,8,60,0,9,1
Cote d'Ivoire,2020,1,0,4,0,0,0
Croatia,2020,0,0,0,0,0,0
Cuba,2020,0,0,0,0,0,0
Curacao,2020,0,2,1,0,0,0
Cyprus,2020,1,1,0,0,0,0
Czechia,2020,0,0,0,0,0,0
Democratic Republic of Congo,2020,39,14,50,0,12,0
Denmark,2020,0,0,0,0,0,0
Djibouti,2020,0,1,0,0,0,0
Dominica,2020,1,0,11,0,0,0
Dominican Republic,2020,0,2,1,0,0,0
Ecuador,2020,33,42,163,1,11,6
Egypt,2020,5,0,1,0,0,0
El Salvador,2020,0,0,1,0,3,0
Equatorial Guinea,2020,3,4,2,0,0,0
Eritrea,2020,0,0,1,0,0,0
Estonia,2020,0,0,0,0,0,0
Eswatini,2020,0,0,0,0,0,0
Ethiopia,2020,38,18,25,0,2,0
Faeroe Islands,2020,0,0,0,0,0,0
Falkland Islands,2020,1,3,0,0,0,2
Fiji,2020,1,36,2,0,1,1
Finland,2020,0,0,0,0,0,0
France,2020,0,1,3,0,0,0
French Guiana,2020,0,1,10,0,0,1
French Polynesia,2020,0,44,0,0,0,0
French Southern Territories,2020,0,4,0,0,0,0
Gabon,2020,3,1,3,0,0,0
Gambia,2020,0,0,0,0,0,0
Georgia,2020,0,0,0,0,0,0
Germany,2020,0,0,0,0,0,0
Ghana,2020,1,0,4,0,1,0
Gibraltar,2020,0,0,0,0,0,0
Greece,2020,2,0,3,0,0,0
Greenland,2020,0,0,0,0,0,0
